中華南華路口,205264.1365,2683717.671
中華民族路口,205580.5414,2684259.793
中華大智路口,204894.2482,2682813.188
中華長春路口,205176.5052,2683492.507
中華鰲峰路口,206081.0359,2684898.28
中華路201巷口,204754.8233,2682631.663
中和東村三街口,221843.7587,2670109.855
中和(中興街),232618.5741,2672428.753
中和(黎明路),212164.76,2668182.379
中和(公安路),219361.8356,2689434.654
中和紡織,212247.7666,2666773.056
中和新村,212011.546,2667768.044
忠和,201751.1066,2678568.696
中航和睦路口,209520.6679,2683661.649
中港新城,211347.6492,2675144.792
中港國小,204971.4768,2681976.749
中港新城,211373.8889,2675117.246
中富國宅,206749.2812,2672786.796
中峰,206208.4432,2683373.577
中村加油站,212445.7614,2671327.531
中部仔,218948.5028,2693358.083
至善國中(青海路),213505.0447,2674323.912
至善國中(逢甲路),213456.577,2674520.953
鎮政民族路口,205417.8744,2684515.925
圳前里,215240.5553,2684302.775
鎮南平等路口,206287.2806,2679510.944
鎮平環中路口,212533.8849,2668929.18
鎮平里,212749.5307,2669316.244
鎮南福至路口,206126.7842,2680152.888
圳寮口,221173.7003,2683045.591
圳寮,227597.6935,2686693.215
正英鎮南路口,206715.9245,2678407.819
正英臺灣大道口,207447.743,2678332.877
正英路,207469.5037,2678330.339
正英七街口,206951.3747,2678338.214
正英二街口,206509.5909,2678498.049
正順正義路口,206690.5374,2677910.946
正隆紙廠,221864.8487,2686541.76
正覺寺,222284.31,2674596.939
正德正義路口,206646.6758,2677419.115
正德正順路口,206441.974,2677648.447
保安保寧路口,206006.6273,2678055.035
正德路72巷口,206241.3094,2677900.141
鄭厝,212471.1436,2699423.043
圳堵三民橋頭,215514.2627,2685165.425
圳堵,215213.4445,2685045.994
蔗部(?子路),218079.1902,2693755.146
蔗部,207301.2003,2674008.38
鎮平國小,212288.0947,2668490.515
樟腳,221306.3262,2687856.963
曾厝,216928.9344,2661206.429
燥坑,236484.0691,2673545.344
育英經國路口,211398.8567,2694287.906
育英街口,218351.3699,2652504.012
育英國中,219480.9827,2670442.071
育賢育誠街口,221720.0033,2672460.846
育賢立功路口,221059.6022,2672650.466
育賢建和路口,221404.7027,2672583.362
月祥文化路口,212299.5125,2681727.391
毓祥護理之家,219368.7146,2668932.671
御史里,218240.6881,2654022.26
雲仙洞,235901.5231,2681303.643
玉門西屯路口,210472.913,2676228.321
玉門臺灣大道口,210341.2797,2675584.552
玉門福科路口,210413.5936,2675940.64
玉門路,210409.7312,2675502.515
預立二村,222341.1265,2671670.727
育樂路,211737.3889,2700006.485
育樂新村,221914.8528,2682476.83
裕嘉里,206370.0793,2687318.476
育英平和東路口,204103.6856,2671565.609
育英國小,217596.4777,2689536.248
裕國社區,205706.9505,2676748.303
漁港港埠路口,204159.528,2686378.698
月眉糖廠,219054.7048,2689777.742
月眉東甲后路口,217829.2426,2690062.925
月眉,218763.8291,2689827.779
裕力公司,209732.2657,2674460.208
月湖里,231187.8392,2681284.971
園子,202485.5312,2680484.146
圓通精舍,233699.0334,2682826.839
圓通南興華一路口,219815.1137,2678017.734
圓山新村,222756.5587,2674652.997
源龍社區,220688.7941,2683665.248
員林里二站,215180.696,2681719.28
員林里,215226.2168,2682267.394
苑裡站,214677.5539,2704148.797
圓環南中興路口,220722.2902,2682293.928
圓環西成功路口,220653.0227,2683307.925
圓環南中山路口,220972.3013,2682184.129
圓環南中正路口,220474.9648,2682647.769
圓環南永安街口,220562.3534,2682480.683
圓環北中山路口,220857.0784,2683386.027
圓環北角潭路口,222199.7272,2683839.515
圓環北大順街口,221960.4686,2683923.605
圓環東田心路口,221491.0549,2682001.996
圓環東自強南街口,221313.9537,2682058.696
圓環東向陽路口,222435.5483,2682822.572
圓環東同安街口,222254.3237,2682476.272
圓環東水源路口,222559.0834,2683375.981
圓環東南陽路口,222136.984,2682294.536
圓環東保康路口,221737.7279,2682030.757
圓環東安康路口(陽明市政大樓),221952.4167,2682164.767
圓環東安康路口,221952.4167,2682164.767
遠東街園中園,208487.726,2676140.952
遠東街169巷口,208801.6716,2676077.684
遠東街風采風,208172.7553,2676234.686
遠東手套,209918.1051,2693541.563
員寶庄福德祠,216338.2321,2678994.746
幼獅工業區,213841.2351,2700430.649
青年高中,218873.3377,2664991.145
幼獅工業區服務中心,214715.7036,2699918.954
國際青年之家,222914.1581,2673907.906
幼獅幼九路口,215407.7754,2699285.931
幼獅幼六路口,214948.4033,2699730.089
友仁公司,209585.4307,2683797.026
幼七幼獅路口,215209.4644,2699482.457
幼六工四路口,214804.8173,2699498.969
幼二青三路口,214150.5658,2699914.624
水遠橋,225065.1977,2683833.072
永興橋,203208.3129,2680115.368
永順宮,206890.6493,2675299.003
永順國小,202468.1854,2672658.904
永順,202423.4486,2672955.54
永盛巷口,230857.7226,2688744.317
永寧里,202385.2632,2680265.189
永寧國小,202549.9976,2680627.911
永康南陽路口,222326.8187,2682055.383
永進家園,214616.7285,2686115.034
永進公司,213602.6038,2686824.393
永和六甲巷口,212365.6905,2678143.183
永和社區,216463.134,2668641.774
永和國宅,216451.641,2668004.062
永光寺,212298.0645,2693049.894
永豐原紙廠,222815.6889,2683699.769
永豐里活動中心,217391.881,2691786.456
永豐社區,215928.0006,2691862.79
永豐螺絲,220512.3443,2681091.181
永豐路28巷口,220800.009,2668814.591
永豐路222巷口,220212.4605,2668201.944
永豐路108巷口,220463.7471,2668500.758
永豐6鄰,217848.5979,2691765.361
永豐1鄰,220435.0563,2692016.321
永豐11鄰,216297.2224,2691835.433
永豐農憩小站,218665.3317,2692046.721
永定里二站(永春路),212432.4454,2670691.058
永定里二站(永春東路),212419.5588,2670479.446
永定里(永春東路),212639.1529,2670310.341
永定里(永春路),212629.8987,2670722.657
永春國小,214157.6137,2669987.845
永春東黎明路口,212992.5779,2670118.225
永春東東興路口,214772.0905,2670019.906
永春東大墩南路口,214493.7684,2670016.167
永春東七路,212767.2799,2671066.461
永成公園(永富街),220798.0315,2667988.403
永成公園(永富街),220798.0315,2667988.403
永安里(永興路),202720.9811,2680049.812
永安里(安林路),211934.3308,2676258.783
永安宮,209359.6226,2684792.573
永安市場,215931.3067,2669699.452
永安國小(西屯路),211941.7318,2675551.521
永安國小(安林路),211904.7555,2675617.929
永安國小,211942.067,2675551.489
永安新村,214525.8049,2698336.078
永安國小(東西四路),210092.9957,2697395.343
永安,208980.7384,2697968.82
一支線邊,221467.6071,2687798.602
邑興社區,216635.4944,2658880.04
宜欣郵局,220823.8163,2671643.116
一心市場,218063.6973,2672102.014
宜欣國小,221029.9915,2670434.073
宜欣社區,221208.7514,2671533.058
詒新,233574.5635,2679954.654
義士祠,223223.9415,2683843.522
一善堂,210846.0311,2671123.499
營埔,205032.4857,2669224.659
銀聯二村,205814.0613,2684808.293
銀聯一村,222505.3679,2664776.584
營埔里,205032.4857,2669224.659
英才向上北路口,215994.9272,2671441.857
英才臺灣大道口,216183.8049,2672021.079
英才民權路口,216486.4068,2672310.309
英才公益路口,215981.7498,2671711.235
英才東英路口,206622.3501,2680128.354
英才西屯路口,216321.4069,2672194.964
英才郵局,215993.3722,2671131.278
英才公園,216477.7434,2672113.968
益民德芳路口,218050.5841,2666902.405
益民國小,218349.3184,2666851.848
一江橋,223128.5046,2669835.894
億鴻新村,216490.8904,2681399.37
義和里,211325.3183,2692816.289
誼豐廠,216671.586,2680374.706
義德里活動中心,222247.259,2688916.096
義德宮,221467.3249,2691110.953
宜昌中山路口,221133.5621,2671489.648
一安定,220760.6209,2692320.104
雅洲新城,214861.1972,2680444.421
雅藝公司,220145.7675,2689053.395
雅潭中山路口,219955.8338,2678954.392
雅潭雅環路口,214770.8923,2679579.447
雅潭民族路口,217377.9867,2678940.036
雅潭大豐路口,218564.2468,2678967.702
煙間,217358.1851,2658522.314
楊桃樹腳,237646.6029,2681266.574
陽明自強南街口,221849.3857,2682298.144
陽明別墅,208077.9741,2675169.192
臺中市政府陽明大樓,221678.5927,2682395.344
楊厝里,210976.1585,2687090.925
炎峰國小,217915.196,2652224.248
雅環雅潭路口,214807.369,2679666.74
雅環民生路口,214619.3429,2680308.686
雅環大榮路口,214743.281,2680116.776
雅環保齡球館,214803.3247,2679960.687
亞東公司,212666.9946,2681546.26
玉山高中,233986.3928,2682908.467
學田診所,210131.2752,2668438.647
學田活動中心,210083.4835,2668614.101
學士健行路口,217571.2038,2672711.151
學士德化街口,217573.091,2672946.124
雪山橋頭,243235.7582,2692082.881
雪山坑,243355.0141,2692557.508
許厝里,210698.1923,2686025.357
許厝寮,210700.6307,2686026.015
許厝,206694.9576,2689316.597
溪洲,208039.5731,2696052.865
西員寶,216795.8932,2678406.578
溪心壩,213693.4767,2663414.888
秀水里,205010.0329,2685225.933
秀山里,213570.8878,2680579.805
秀山,213377.411,2679281.176
西屯忠明路口,215907.8227,2672964.342
西屯玉門路口,210497.2597,2676215.517
西屯文心路口,214861.896,2673460.396
西屯太原路口,215765.3794,2673184.636
西屯上石路口,214065.6141,2674073.329
西屯洛陽路口,214614.8234,2673533.144
西屯健行路口,216045.316,2672754.471
西屯惠中路口,214249.2538,2673828.104
西屯河南路口,213919.6675,2674250.81
西屯東大路口,210166.7163,2676375.148
西屯郵局,213160.2699,2674667.467
西屯派出所,213234.1296,2675136.311
西屯區公所(朝貴路),212745.2477,2673399.443
西屯區公所,212844.4877,2673241.769
西屯區公所(朝貴路),212741.4311,2673416.509
溪頭仔,206883.161,2689124.416
西勢營門,209614.846,2683750.537
西勢寮,209002.4489,2682799.262
西勢成功路口,220399.0698,2682205.758
西勢里,209253.3652,2683856.345
西勢十巷口,209386.8595,2683385.923
鰲峰西社路口,206346.3971,2684907.427
西岐國小,212334.015,2701592.333
西岐,212265.5953,2701566.711
溪埔仔,206842.9579,2688324.004
溪埔,218408.3238,2693875.839
新庄里,207660.4377,2675047.716
新庄車庫,214716.0606,2686189.534
新庄,214901.3501,2686112.985
新政大安港路口,210763.9979,2693777.085
新圳,208069.1856,2673567.404
信義國小(五權南路),216464.3737,2668520.684
信義國小(美村路),216228.7789,2668616.671
新亞磚廠,210055.9615,2694744.967
新興新莊路口,207873.925,2675226.28
新興五光路口,212144.8337,2666607.745
新興樹德路口,220764.958,2672673.219
新興里,204176.1352,2670709.811
新興社區,210169.2591,2684908.002
新興橋,216062.3112,2667433.842
新興,221826.8769,2677601.825
新烏日火車站,210801.5482,2667115.281
新五村,230839.1587,2676116.07
新田口,229689.5288,2689017.512
新田,221927.0337,2679243.406
新桃花源橋,222843.809,2672867.342
新四村,230182.016,2676687.521
新盛里(東勢高工),233070.4919,2681988.968
新生里(哈魚碼頭),211949.1834,2671565.84
新社高中,230357.4589,2681529.75
新社新村,230358.3645,2681523.658
新社,230538.429,2682122.906
新三村,230398.832,2679575.822
新仁永豐路口,219838.6854,2667380.388
新仁好來一街口,219559.8327,2667279.423
新仁五街口,220099.0539,2667442.857
新仁一街口,220512.3198,2667363.474
